,timestamp_leitura,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z
11,2023-04-21 20:11:01.166682,3.268085241,1.496376038,8.851364136,-0.100722812,0.016787136,-0.011191424
12,2023-04-21 20:11:01.166682,3.270479441,1.491587639,8.851364136,-0.100989282,0.017053599,-0.011191424
13,2023-04-21 20:11:01.166682,3.268085241,1.489193439,8.851364136,-0.101522207,0.017320061,-0.011191424
14,2023-04-21 20:11:01.166682,3.265691042,1.48679924,8.84896946,-0.10178867,0.017320061,-0.011191424
0,2023-04-21 20:11:01.195643,3.265691042,1.434126854,8.817844391,-0.099390499,0.02051761,-0.011990812
1,2023-04-21 20:11:01.195643,3.263296843,1.436521053,8.813055992,-0.099124044,0.019984685,-0.011724349
2,2023-04-21 20:11:01.195643,3.263296843,1.434126854,8.813055992,-0.098857582,0.019718224,-0.011724349
3,2023-04-21 20:11:01.195643,3.260902643,1.434126854,8.815450668,-0.098591112,0.019451762,-0.011724349
4,2023-04-21 20:11:01.195643,3.263296843,1.438915253,8.805873871,-0.098324656,0.019718224,-0.011724349
5,2023-04-21 20:11:01.195643,3.270479441,1.438915253,8.801085472,-0.098324656,0.019718224,-0.011457887
6,2023-04-21 20:11:01.195643,3.277662039,1.436521053,8.796297073,-0.097791731,0.019718224,-0.011457887
7,2023-04-21 20:11:01.195643,3.280056238,1.441309452,8.789113998,-0.097525269,0.019984685,-0.011724349
8,2023-04-21 20:11:01.195643,3.280056238,1.441309452,8.781931877,-0.097258806,0.019984685,-0.011191424
9,2023-04-21 20:11:01.195643,3.277662039,1.441309452,8.779537201,-0.097258806,0.020251149,-0.011191424
10,2023-04-21 20:11:01.195643,3.275267839,1.441309452,8.779537201,-0.096992344,0.02051761,-0.011191424
11,2023-04-21 20:11:01.195643,3.27287364,1.441309452,8.786720276,-0.096725874,0.021050537,-0.011191424
12,2023-04-21 20:11:01.195643,3.275267839,1.443703651,8.793902397,-0.096459419,0.021050537,-0.011191424
13,2023-04-21 20:11:01.195643,3.275267839,1.44849205,8.791508675,-0.096192956,0.021050537,-0.011191424
14,2023-04-21 20:11:01.195643,3.275267839,1.45088625,8.789113998,-0.095660031,0.021050537,-0.011191424
0,2023-04-21 20:11:01.223627,3.256114244,1.455674648,8.860940933,-0.107650839,0.018119449,-0.011457887
1,2023-04-21 20:11:01.223627,3.256114244,1.44849205,8.851364136,-0.107650839,0.017852986,-0.011724349
2,2023-04-21 20:11:01.223627,3.256114244,1.446097851,8.84896946,-0.107650839,0.017852986,-0.011724349
3,2023-04-21 20:11:01.223627,3.256114244,1.441309452,8.844181061,-0.107650839,0.017852986,-0.011457887
4,2023-04-21 20:11:01.223627,3.256114244,1.434126854,8.841787338,-0.107384384,0.017586524,-0.011724349
5,2023-04-21 20:11:01.223627,3.258508444,1.424550056,8.83699894,-0.107117914,0.017586524,-0.011990812
6,2023-04-21 20:11:01.223627,3.256114244,1.419761658,8.834604263,-0.106851459,0.017586524,-0.011990812
7,2023-04-21 20:11:01.223627,3.256114244,1.414973259,8.83699894,-0.106584989,0.017586524,-0.012257273
8,2023-04-21 20:11:01.223627,3.253720045,1.414973259,8.834604263,-0.106318533,0.017320061,-0.012257273
9,2023-04-21 20:11:01.223627,3.253720045,1.41018486,8.834604263,-0.105519146,0.017586524,-0.012257273
