,timestamp_leitura,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z
6,1683959046.433383,1.400607944,-0.076614454,9.270348549,-0.105252676,0.020784073,-0.012523737
7,1683959046.433383,1.400607944,-0.076614454,9.270348549,-0.104986221,0.021050537,-0.012523737
8,1683959046.433383,1.400607944,-0.079008654,9.272743225,-0.105252676,0.021316998,-0.012790199
9,1683959046.433383,1.400607944,-0.079008654,9.270348549,-0.105252676,0.02158346,-0.012790199
10,1683959046.433383,1.400607944,-0.079008654,9.270348549,-0.105252676,0.02158346,-0.012790199
11,1683959046.433383,1.395819545,-0.076614454,9.275136948,-0.105252676,0.021849923,-0.012790199
12,1683959046.433383,1.398213744,-0.076614454,9.272743225,-0.105252676,0.021849923,-0.012790199
13,1683959046.433383,1.398213744,-0.076614454,9.267954826,-0.105252676,0.021849923,-0.012790199
14,1683959046.433383,1.395819545,-0.081402861,9.267954826,-0.105252676,0.021849923,-0.012523737
0,1683959046.4713604,1.395819545,-0.086191259,9.267954826,-0.104719758,0.02158346,-0.012523737
1,1683959046.4713604,1.393425345,-0.081402861,9.26556015,-0.104719758,0.02158346,-0.012523737
2,1683959046.4713604,1.393425345,-0.081402861,9.263166428,-0.104719758,0.02158346,-0.012523737
3,1683959046.4713604,1.393425345,-0.08379706,9.26556015,-0.104719758,0.02158346,-0.012523737
4,1683959046.4713604,1.391031146,-0.081402861,9.267954826,-0.104719758,0.02158346,-0.012790199
5,1683959046.4713604,1.393425345,-0.081402861,9.272743225,-0.104719758,0.02158346,-0.012523737
6,1683959046.4713604,1.393425345,-0.081402861,9.277531624,-0.104986221,0.021849923,-0.012790199
7,1683959046.4713604,1.393425345,-0.081402861,9.275136948,-0.104719758,0.021849923,-0.012790199
8,1683959046.4713604,1.395819545,-0.081402861,9.272743225,-0.104986221,0.021849923,-0.012790199
9,1683959046.4713604,1.398213744,-0.081402861,9.275136948,-0.104986221,0.02158346,-0.012790199
10,1683959046.4713604,1.400607944,-0.08379706,9.275136948,-0.104986221,0.02158346,-0.012523737
11,1683959046.4713604,1.403002143,-0.081402861,9.272743225,-0.104986221,0.02158346,-0.012790199
12,1683959046.4713604,1.400607944,-0.081402861,9.270348549,-0.104986221,0.02158346,-0.012790199
13,1683959046.4713604,1.400607944,-0.081402861,9.270348549,-0.104986221,0.02158346,-0.012790199
14,1683959046.4713604,1.400607944,-0.081402861,9.263166428,-0.104986221,0.021316998,-0.012790199
0,1683959046.5133412,1.400607944,-0.079008654,9.270348549,-0.104986221,0.022382848,-0.012790199
1,1683959046.5133412,1.398213744,-0.079008654,9.272743225,-0.105252676,0.022382848,-0.012790199
2,1683959046.5133412,1.398213744,-0.081402861,9.270348549,-0.104986221,0.022116385,-0.012790199
3,1683959046.5133412,1.400607944,-0.081402861,9.267954826,-0.104986221,0.022116385,-0.012790199
4,1683959046.5133412,1.400607944,-0.079008654,9.267954826,-0.104986221,0.022116385,-0.012790199
5,1683959046.5133412,1.403002143,-0.079008654,9.272743225,-0.104986221,0.021849923,-0.012790199
6,1683959046.5133412,1.403002143,-0.081402861,9.272743225,-0.104986221,0.021849923,-0.012790199
7,1683959046.5133412,1.405396342,-0.081402861,9.272743225,-0.104719758,0.022116385,-0.012790199
8,1683959046.5133412,1.403002143,-0.081402861,9.275136948,-0.104719758,0.022116385,-0.012790199
9,1683959046.5133412,1.403002143,-0.08379706,9.279925346,-0.104719758,0.022116385,-0.013056661
10,1683959046.5133412,1.403002143,-0.081402861,9.275136948,-0.104719758,0.022116385,-0.013056661
11,1683959046.5133412,1.403002143,-0.08379706,9.275136948,-0.104719758,0.022116385,-0.013056661
12,1683959046.5133412,1.403002143,-0.081402861,9.272743225,-0.104719758,0.022382848,-0.013056661
13,1683959046.5133412,1.398213744,-0.081402861,9.275136948,-0.104719758,0.022382848,-0.013056661
14,1683959046.5133412,1.400607944,-0.079008654,9.275136948,-0.104719758,0.022382848,-0.013056661
0,1683959046.6282732,1.398213744,-0.090979666,9.275136948,-0.104719758,0.022116385,-0.012523737
1,1683959046.6282732,1.398213744,-0.090979666,9.275136948,-0.104986221,0.022116385,-0.012523737
2,1683959046.6282732,1.398213744,-0.090979666,9.272743225,-0.104986221,0.021849923,-0.012523737
3,1683959046.6282732,1.398213744,-0.088585466,9.270348549,-0.104986221,0.021849923,-0.012523737
4,1683959046.6282732,1.395819545,-0.086191259,9.267954826,-0.104719758,0.021849923,-0.012790199
5,1683959046.6282732,1.398213744,-0.086191259,9.267954826,-0.104719758,0.021849923,-0.012790199
6,1683959046.6282732,1.398213744,-0.086191259,9.267954826,-0.104719758,0.02158346,-0.012790199
7,1683959046.6282732,1.398213744,-0.088585466,9.26556015,-0.104719758,0.02158346,-0.012790199
8,1683959046.6282732,1.400607944,-0.088585466,9.26556015,-0.104719758,0.02158346,-0.012790199
9,1683959046.6282732,1.398213744,-0.086191259,9.26556015,-0.104719758,0.02158346,-0.012790199
10,1683959046.6282732,1.400607944,-0.08379706,9.26556015,-0.104719758,0.021849923,-0.012790199
