,timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5
1,1693677649709873500,1.028309584,-0.85353291,10.25675964,-0.063018374,-0.001732006,-0.008660031,-28,39,83,7,-9
2,1693677649710873500,1.027112484,-0.857124209,10.26035118,-0.062751912,-0.001865237,-0.008526799,-22,44,80,10,-7
3,1693677649711873500,1.030703783,-0.85473001,10.25795746,-0.062885143,-0.001732006,-0.008526799,-1,68,89,6,-7
4,1693677649712873500,1.030703783,-0.85353291,10.25795746,-0.062885143,-0.001598775,-0.008526799,-24,48,90,12,-6
0,1693677649724863800,1.030703783,-0.845153213,10.25795746,-0.062485453,-0.001465544,-0.008260337,-23,31,81,2,-17
1,1693677649725863800,1.030703783,-0.846350312,10.25436592,-0.062485453,-0.001465544,-0.008260337,-27,43,86,13,-8
2,1693677649726863800,1.030703783,-0.848744512,10.25795746,-0.062352221,-0.001465544,-0.008260337,-23,42,85,13,-7
3,1693677649727863800,1.028309584,-0.851138711,10.25556278,-0.062352221,-0.001332312,-0.008393568,-19,37,89,13,-5
4,1693677649728863800,1.029506683,-0.849941611,10.25675964,-0.062485453,-0.001332312,-0.008526799,-30,41,88,13,-7
0,1693677649741854100,1.027112484,-0.85353291,10.27471638,-0.062751912,-0.001865237,-0.009059724,-23,39,90,6,-7
1,1693677649742854100,1.028309584,-0.85353291,10.27591324,-0.062885143,-0.001865237,-0.008926493,-20,39,79,11,-11
2,1693677649743854100,1.024718285,-0.852335811,10.27351952,-0.062885143,-0.001732006,-0.008926493,-24,45,91,12,-5
3,1693677649744854100,1.024718285,-0.851138711,10.26992798,-0.062751912,-0.001732006,-0.008926493,-22,45,86,8,-7
4,1693677649745854100,1.024718285,-0.85353291,10.26873112,-0.062885143,-0.001865237,-0.008926493,-28,43,85,7,-7
0,1693677649758847000,1.023521185,-0.85353291,10.27830791,-0.062751912,-0.001865237,-0.008526799,-20,41,88,-2,-12
1,1693677649759847000,1.021126986,-0.85592711,10.27471638,-0.06261868,-0.001865237,-0.008526799,-23,43,90,12,-4
2,1693677649760847000,1.021126986,-0.859518409,10.27711105,-0.062751912,-0.001732006,-0.008526799,-20,36,87,10,-5
3,1693677649761847000,1.021126986,-0.859518409,10.27950478,-0.062885143,-0.001865237,-0.008393568,-24,33,84,4,-8
4,1693677649762847000,1.024718285,-0.858321309,10.28070164,-0.062885143,-0.001732006,-0.008526799,-26,43,88,8,-7
0,1693677649774858100,1.033097982,-0.85473001,10.27112484,-0.062085759,-0.001598775,-0.008793262,-24,39,86,13,-9
1,1693677649775858100,1.029506683,-0.85353291,10.27112484,-0.062085759,-0.001598775,-0.008926493,-24,44,90,8,-7
2,1693677649776858100,1.028309584,-0.857124209,10.26753426,-0.062218986,-0.001598775,-0.009192956,-27,41,88,8,-9
3,1693677649777858100,1.031900883,-0.858321309,10.26633644,-0.062085759,-0.001598775,-0.008926493,-24,39,81,12,-11
4,1693677649778858100,1.031900883,-0.857124209,10.26513958,-0.062085759,-0.001465544,-0.008926493,-27,38,76,11,-9
0,1693677649798824300,1.023521185,-0.840364814,10.27471638,-0.062485453,-0.001998469,-0.008526799,-20,41,87,13,-7
1,1693677649799824300,1.023521185,-0.843956113,10.27471638,-0.062485453,-0.001998469,-0.008660031,-27,42,89,9,-5
2,1693677649800824300,1.024718285,-0.842759013,10.27711105,-0.062485453,-0.001865237,-0.008660031,-23,34,89,11,-7
3,1693677649801824300,1.025915384,-0.845153213,10.27591324,-0.06261868,-0.001998469,-0.008526799,-16,43,85,7,-11
