timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z
1689140535002390600,-10.0,-23.0,-20.0,-2.0,0.0,-2.0,10.0,43.0,,,,,,,,,,,,
1689140535008386200,1.0,5.0,4.0,6.0,1.0,5.0,0.0,38.0,,,,,,,,,,,,
1689140535010386900,-18.0,-26.0,-14.0,18.0,4.0,-12.0,-1.0,30.0,,,,,,,,,,,,
1689140535022377600,-15.0,16.0,10.0,-9.0,1.0,3.0,4.0,36.0,,,,,,,,,,,,
1689140535023378500,45.0,1.0,-21.0,-8.0,-1.0,-1.0,0.0,-31.0,,,,,,,,,,,,
1689140535031372900,-12.0,26.0,38.0,15.0,-3.0,0.0,-5.0,-9.0,,,,,,,,,,,,
1689140535032374300,3.0,-21.0,19.0,13.0,-2.0,-4.0,3.0,22.0,,,,,,,,,,,,
1689140535045365900,25.0,7.0,-11.0,-4.0,3.0,1.0,9.0,71.0,,,,,,,,,,,,
1689140535046365400,-12.0,54.0,9.0,1.0,0.0,3.0,-1.0,-14.0,,,,,,,,,,,,
1689140535052362600,-33.0,-22.0,-14.0,-3.0,4.0,0.0,-1.0,-22.0,,,,,,,,,,,,
1689140535053361200,-5.0,-35.0,-23.0,-11.0,-5.0,0.0,-1.0,-16.0,,,,,,,,,,,,
1689140535060357200,-18.0,6.0,-4.0,3.0,-4.0,-3.0,0.0,32.0,,,,,,,,,,,,
1689140535061357900,-13.0,-26.0,-33.0,-10.0,2.0,1.0,-3.0,-2.0,,,,,,,,,,,,
1689140535069352100,6.0,5.0,22.0,12.0,0.0,-2.0,-3.0,-14.0,,,,,,,,,,,,
1689140535070352900,6.0,50.0,17.0,-12.0,-2.0,-1.0,2.0,13.0,,,,,,,,,,,,
1689140535082343700,-3.0,-8.0,-1.0,11.0,-1.0,3.0,7.0,56.0,,,,,,,,,,,,
1689140535083345200,52.0,5.0,13.0,6.0,1.0,-1.0,1.0,48.0,,,,,,,,,,,,
1689140535091340700,1.0,10.0,-20.0,-3.0,2.0,2.0,2.0,-18.0,,,,,,,,,,,,
1689140535092339600,-13.0,-14.0,-19.0,3.0,0.0,-1.0,5.0,40.0,,,,,,,,,,,,
1689140535105352400,7.0,12.0,31.0,9.0,2.0,-3.0,-8.0,-105.0,,,,,,,,,,,,
1689140535107005500,-20.0,11.0,-10.0,-6.0,-3.0,1.0,-3.0,23.0,,,,,,,,,,,,
1689140535111997700,22.0,-9.0,-23.0,-10.0,-6.0,-2.0,-1.0,-5.0,,,,,,,,,,,,
1689140535113019800,2.0,43.0,62.0,30.0,6.0,4.0,-1.0,7.0,,,,,,,,,,,,
1689140535119993700,3.0,0.0,-39.0,-40.0,-4.0,-3.0,-4.0,-19.0,,,,,,,,,,,,
1689140535121004700,-23.0,-24.0,44.0,11.0,1.0,-1.0,0.0,-20.0,,,,,,,,,,,,
1689140535151975400,-30.0,21.0,-26.0,-12.0,-1.0,0.0,-1.0,44.0,,,,,,,,,,,,
1689140535153976800,22.0,13.0,-18.0,-1.0,1.0,-3.0,-5.0,5.0,,,,,,,,,,,,
1689140535155974600,12.0,-8.0,15.0,27.0,-3.0,-4.0,-3.0,-17.0,,,,,,,,,,,,
1689140535156973900,-8.0,-20.0,-13.0,-14.0,-4.0,-4.0,-4.0,-31.0,,,,,,,,,,,,
1689140535157973700,-18.0,4.0,9.0,-7.0,-2.0,0.0,1.0,15.0,,,,,,,,,,,,
1689140535159971200,9.0,-24.0,-12.0,-7.0,1.0,1.0,-2.0,-25.0,,,,,,,,,,,,
