,timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5
4,1690861076108302000,0.536301196,-0.081402861,9.294290543,-0.105785601,0.023448698,-0.012257273,325675.5625,341271.4688,315736.0,201324.5156,304644.2188
0,1690861076136102300,0.536301196,-0.081402861,9.267954826,-0.105519146,0.022382848,-0.012790199,327007.3125,349506.0313,290371.8125,196309.6875,306653.3438
1,1690861076137102300,0.541089594,-0.081402861,9.267954826,-0.105519146,0.022382848,-0.012523737,338436.75,336567.125,311971.8438,201102.9531,303846.0938
2,1690861076138102300,0.541089594,-0.081402861,9.267954826,-0.105519146,0.022382848,-0.012257273,347052.4063,329245.2813,311144.5938,206053.7813,299122.9063
3,1690861076139102300,0.545877993,-0.081402861,9.26556015,-0.105519146,0.022649311,-0.012523737,329695.6875,333333.2813,314054.5938,201324.5156,299122.9063
4,1690861076140102300,0.543483794,-0.076614454,9.26556015,-0.105519146,0.022649311,-0.012523737,331962.0,349506.0313,312386.6875,199342.0625,299902.3125
0,1690861076170084100,0.550666392,-0.086191259,9.272743225,-0.105785601,0.023182238,-0.012523737,332418.125,361148.5625,306653.3438,198905.1406,302259.2813
1,1690861076171084100,0.548272192,-0.086191259,9.275136948,-0.105785601,0.022915773,-0.012790199,344625.4375,357031.3125,298734.1563,207894.7656,299902.3125
2,1690861076172084100,0.545877993,-0.086191259,9.275136948,-0.106052071,0.022649311,-0.012790199,337500.0625,336102.1875,307462.7188,197601.7813,304644.2188
3,1690861076173084100,0.545877993,-0.088585466,9.270348549,-0.105785601,0.022915773,-0.012523737,316158.5,338906.6875,295270.2813,206282.6875,305044.5625
4,1690861076174084100,0.543483794,-0.090979666,9.267954826,-0.105785601,0.022915773,-0.012790199,333333.2813,332875.375,299902.3125,198034.9063,303051.25
0,1690861076208387500,0.538695395,-0.086191259,9.272743225,-0.106052071,0.023981623,-0.011990812,331052.625,352986.6875,312386.6875,202660.75,304644.2188
1,1690861076209387500,0.538695395,-0.08379706,9.272743225,-0.105785601,0.023981623,-0.011990812,327007.3125,358053.625,309090.9375,205369.1719,307868.5625
2,1690861076210387500,0.538695395,-0.081402861,9.272743225,-0.105785601,0.023981623,-0.011724349,331962.0,334252.3438,299902.3125,201102.9531,299512.1875
3,1690861076211387500,0.541089594,-0.079008654,9.275136948,-0.105785601,0.023715161,-0.011990812,344625.4375,350495.0313,304644.2188,198251.9688,298346.2813
4,1690861076212387500,0.541089594,-0.079008654,9.277531624,-0.105785601,0.023715161,-0.011990812,341271.4688,327899.5625,306653.3438,202884.6094,299512.1875
0,1690861076245110800,0.536301196,-0.088585466,9.284713745,-0.105785601,0.023448698,-0.012523737,338436.75,350495.0313,303051.25,201546.4063,299122.9063
1,1690861076246110800,0.538695395,-0.086191259,9.282320023,-0.105785601,0.023448698,-0.012523737,320000.0625,349506.0313,296418.1875,201324.5156,299512.1875
2,1690861076247110800,0.538695395,-0.086191259,9.282320023,-0.106052071,0.023448698,-0.012790199,329245.2813,337033.0313,287051.0,196954.2969,296802.3125
3,1690861076248110800,0.538695395,-0.088585466,9.284713745,-0.106052071,0.023448698,-0.012523737,345108.7188,355506.0625,294129.0,202660.75,305445.5938
4,1690861076249110800,0.538695395,-0.088585466,9.284713745,-0.106052071,0.023448698,-0.012790199,337033.0313,335175.4375,303051.25,204234.75,298346.2813
0,1690861076271781600,0.538695395,-0.08379706,9.279925346,-0.106052071,0.023182238,-0.012257273,345108.7188,346564.75,306653.3438,196739.1094,299902.3125
1,1690861076272781600,0.538695395,-0.086191259,9.282320023,-0.106052071,0.023448698,-0.012257273,344625.4375,346564.75,306653.3438,204234.75,299902.3125
2,1690861076273781600,0.543483794,-0.086191259,9.284713745,-0.106052071,0.023448698,-0.012257273,346078.4375,352986.6875,294129.0,200881.7188,299902.3125
3,1690861076274781600,0.541089594,-0.086191259,9.282320023,-0.106052071,0.023448698,-0.011990812,341271.4688,364812.7188,306653.3438,200000.0156,298734.1563
4,1690861076275781600,0.541089594,-0.086191259,9.284713745,-0.106052071,0.023182238,-0.012257273,339377.5938,357031.3125,305847.4375,206053.7813,297959.1875
0,1690861076293534300,0.536301196,-0.095768064,9.287108421,-0.106318533,0.023715161,-0.012257273,330147.0625,343181.8438,314054.5938,196739.1094,298734.1563
1,1690861076294534300,0.533906996,-0.095768064,9.289502144,-0.106318533,0.023448698,-0.012257273,334713.3438,341747.4688,296802.3125,206971.4844,299122.9063
2,1690861076295534300,0.533906996,-0.095768064,9.289502144,-0.106318533,0.023715161,-0.012257273,342224.6563,348521.3438,302259.2813,200000.0156,299902.3125
3,1690861076296534300,0.533906996,-0.095768064,9.282320023,-0.106318533,0.023715161,-0.012257273,326118.6563,360112.4063,309500.0313,208126.4375,304644.2188
4,1690861076297534300,0.533906996,-0.093373865,9.272743225,-0.106584989,0.023715161,-0.011990812,320863.25,331506.8125,299902.3125,204008.9063,299902.3125
0,1690861076323985300,0.533906996,-0.081402861,9.275136948,-0.106052071,0.023448698,-0.012257273,333333.2813,344625.4375,296418.1875,199123.4063,298346.2813
1,1690861076324985300,0.536301196,-0.08379706,9.277531624,-0.106052071,0.023448698,-0.011990812,331052.625,338436.75,308682.5313,203783.375,302259.2813
2,1690861076325985300,0.531512797,-0.086191259,9.277531624,-0.106052071,0.023448698,-0.012257273,334713.3438,340796.5938,299902.3125,197601.7813,297572.8125
3,1690861076326985300,0.533906996,-0.086191259,9.279925346,-0.106052071,0.023182238,-0.012523737,336567.125,365340.9375,299902.3125,203333.3281,305445.5938
4,1690861076327985300,0.533906996,-0.088585466,9.284713745,-0.105785601,0.023715161,-0.012523737,326562.5,355000.0938,299122.9063,200000.0156,295270.2813
0,1690861076354405300,0.533906996,-0.086191259,9.267954826,-0.106052071,0.024514547,-0.012523737,320431.1563,358053.625,313636.375,197818.2188,296802.3125
1,1690861076355405300,0.533906996,-0.08379706,9.267954826,-0.106052071,0.024248086,-0.012523737,334252.3438,346564.75,293750.0,198034.9063,299902.3125
2,1690861076356405300,0.533906996,-0.08379706,9.272743225,-0.106052071,0.024248086,-0.012523737,323913.0625,350495.0313,307057.6875,197818.2188,304644.2188
3,1690861076357405300,0.531512797,-0.079008654,9.26556015,-0.105785601,0.023981623,-0.012523737,335175.4375,361148.5625,296034.8125,199342.0625,297959.1875
4,1690861076358405300,0.533906996,-0.079008654,9.26556015,-0.105785601,0.023981623,-0.012790199,325675.5625,358053.625,311144.5938,204460.9531,299902.3125
