,timestamp,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,right_data_flex_1,right_data_flex_2,right_data_flex_3,right_data_flex_4,right_data_flex_5
1,1693677769824966400,-0.117315881,2.412158251,10.2028904,0.053825419,-0.027179174,0.037704438,15,45,-24,-22,48
2,1693677769825966400,-0.114921682,2.410961151,10.20408726,0.053825419,-0.027045943,0.037704438,14,40,-27,-27,54
3,1693677769826966400,-0.117315881,2.410961151,10.20408726,0.053825419,-0.02691271,0.037704438,13,28,-25,-24,49
4,1693677769827966400,-0.118512981,2.41455245,10.20049667,0.053825419,-0.027045943,0.037704438,19,33,-24,-19,53
0,1693677769847972500,-0.106541976,2.407369852,10.20049667,0.053692192,-0.02691271,0.037970904,17,43,-17,-17,55
1,1693677769848972500,-0.106541976,2.406172752,10.20528507,0.053825419,-0.02691271,0.037970904,18,39,-19,-27,49
2,1693677769849972500,-0.106541976,2.406172752,10.21246719,0.053958651,-0.027045943,0.037970904,17,39,-29,-18,45
3,1693677769850972500,-0.108936176,2.406172752,10.21486187,0.053958651,-0.027045943,0.037970904,13,41,-24,-19,53
4,1693677769851972500,-0.110133275,2.408566952,10.21366405,0.053825419,-0.026779478,0.037970904,18,37,-21,-23,52
0,1693677769870937000,-0.112527482,2.404975653,10.22324085,0.054225113,-0.025980091,0.037970904,19,30,-29,-26,51
1,1693677769871937000,-0.111330383,2.404975653,10.22563553,0.054358348,-0.025980091,0.037970904,11,36,-24,-24,52
2,1693677769872937000,-0.113724582,2.404975653,10.22324085,0.054225113,-0.026113322,0.037970904,13,35,-28,-26,68
3,1693677769873937000,-0.111330383,2.404975653,10.22683239,0.054091886,-0.026246555,0.038104136,14,32,-28,-22,49
4,1693677769874937000,-0.107739076,2.406172752,10.22802925,0.054225113,-0.026379786,0.038237367,15,37,-21,-19,52
0,1693677769893927200,-0.110133275,2.410961151,10.21007347,0.054091886,-0.027045943,0.038104136,18,39,-24,-24,52
